frame_number,timestamp_seconds,objects_detected,active_tracks,processing_time_ms,fps,contour_count_raw,contour_count_filtered,inference_time_ms,class_counts,roi_objects,roi_class_counts,entered,exited,circle_count,rectangle_count,triangle_count,other_count,active_vehicles,vehicle_class_counts,direction_a,direction_b,total_crossings,line_orientation
143,5.68,20,20,36.909100017510355,27.093589372961727,,,32.88229997269809,"{""car"": 17, ""truck"": 3}",20,"{""car"": 17, ""truck"": 3}",0,2,0,0,0,0,20,"{""car"": 17, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,2,2,horizontal
144,5.72,20,20,36.86370002105832,27.126956855355047,,,32.982900040224195,"{""car"": 17, ""truck"": 3}",20,"{""car"": 17, ""truck"": 3}",0,2,0,0,0,0,20,"{""car"": 17, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,2,2,horizontal
145,5.76,19,19,36.200700036715716,27.623775202848933,,,32.4840999674052,"{""car"": 16, ""truck"": 2, ""bus"": 1}",19,"{""car"": 16, ""truck"": 2, ""bus"": 1}",0,2,0,0,0,0,19,"{""car"": 16, ""truck"": 2, ""bus"": 1, ""motorcycle"": 0, ""bicycle"": 0}",0,2,2,horizontal
146,5.8,20,20,37.0946999755688,26.95802906233551,,,33.01419998751953,"{""car"": 17, ""truck"": 3}",20,"{""car"": 17, ""truck"": 3}",0,2,0,0,0,0,20,"{""car"": 17, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,2,2,horizontal
147,5.84,21,21,37.71460003918037,26.514930529851444,,,33.56609999900684,"{""car"": 18, ""truck"": 3}",21,"{""car"": 18, ""truck"": 3}",0,2,0,0,0,0,21,"{""car"": 18, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,2,2,horizontal
148,5.88,21,21,36.5437000291422,27.364497825960104,,,32.5406999909319,"{""car"": 18, ""truck"": 3}",21,"{""car"": 18, ""truck"": 3}",0,2,0,0,0,0,21,"{""car"": 18, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,2,2,horizontal
149,5.92,21,21,36.97060002014041,27.04851961978523,,,32.783000031486154,"{""car"": 18, ""truck"": 3}",21,"{""car"": 18, ""truck"": 3}",1,2,0,0,0,0,21,"{""car"": 18, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
150,5.96,21,21,37.109100027009845,26.94756809710153,,,32.72969997487962,"{""car"": 18, ""truck"": 3}",21,"{""car"": 18, ""truck"": 3}",1,2,0,0,0,0,21,"{""car"": 18, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
151,6.0,21,21,38.82799996063113,25.75461010131683,,,34.773799998220056,"{""car"": 18, ""truck"": 3}",21,"{""car"": 18, ""truck"": 3}",1,2,0,0,0,0,21,"{""car"": 18, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
152,6.04,18,18,36.663100006990135,27.27538041816817,,,32.713200023863465,"{""car"": 15, ""truck"": 2, ""bus"": 1}",18,"{""car"": 15, ""truck"": 2, ""bus"": 1}",1,2,0,0,0,0,18,"{""car"": 15, ""truck"": 2, ""bus"": 1, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
