frame_number,timestamp_seconds,objects_detected,active_tracks,processing_time_ms,fps,contour_count_raw,contour_count_filtered,inference_time_ms,class_counts,roi_objects,roi_class_counts,entered,exited,circle_count,rectangle_count,triangle_count,other_count
55,1.8,4,4,23.67759996559471,42.23401026510598,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
56,1.8333333333333333,4,4,17.144499986898154,58.3277436358133,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
57,1.8666666666666667,4,4,20.415799983311445,48.98167109872909,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
58,1.9,4,4,21.065799985080957,47.47030735638862,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
59,1.9333333333333333,4,4,22.555199975613505,44.335674304869464,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
60,1.9666666666666666,4,4,18.925599986687303,52.838483361342455,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
61,2.0,4,4,20.260500023141503,49.357123410468745,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
62,2.033333333333333,4,4,16.388599993661046,61.01802474810481,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
63,2.066666666666667,4,4,16.554799978621304,60.40544140016126,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
64,2.1,4,4,16.674900020007044,59.9703745629761,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
65,2.1333333333333333,4,4,20.159100007731467,49.60538911045025,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
66,2.1666666666666665,4,4,17.768500023521483,56.27937072213331,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
67,2.2,4,4,21.788200014270842,45.89640260989984,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
68,2.2333333333333334,4,4,22.59300003061071,44.26149686385713,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
69,2.2666666666666666,4,4,22.5928999716416,44.261692888260946,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
70,2.3,4,4,21.569799981079996,46.36111604545024,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
71,2.3333333333333335,4,4,21.51760004926473,46.47358430821706,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
72,2.3666666666666667,4,4,19.91600001929328,50.21088567138318,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
73,2.4,4,4,20.35010000690818,49.13980765011147,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
